'Titulo','Direção','Nota','Link','Ano','Categoria'
'O Poderoso Chefão','N/A','4.8','Https://www.adorocinema.com/filmes/filme-1628/','4,8','N,/,A'
'Um Sonho de Liberdade','N/A','4.8','Https://www.adorocinema.com/filmes/filme-11736/','4,8','N,/,A'
'A Lista de Schindler','N/A','3.9','Https://www.adorocinema.com/filmes/filme-9393/','3,9','N,/,A'
'Forrest Gump - O Contador de Histórias','N/A','4.7','Https://www.adorocinema.com/filmes/filme-10568/','4,7','N,/,A'
'O Rei Leão','N/A','4.7','Https://www.adorocinema.com/filmes/filme-10862/','4,7','N,/,A'
'À Espera de um Milagre','N/A','4.7','Https://www.adorocinema.com/filmes/filme-22779/','4,7','N,/,A'
'O Senhor dos Anéis - O Retorno do Rei','N/A','4.7','Https://www.adorocinema.com/filmes/filme-39187/','4,7','N,/,A'
'Batman - O Cavaleiro Das Trevas','N/A','4.7','Https://www.adorocinema.com/filmes/filme-115362/','4,7','N,/,A'
'Vingadores: Ultimato','N/A','3.9','Https://www.adorocinema.com/filmes/filme-232669/','3,9','N,/,A'
'Vingadores: Guerra Infinita','N/A','3.6','Https://www.adorocinema.com/filmes/filme-218265/','3,6','N,/,A'
'O Poderoso Chefão 2','N/A','4.7','Https://www.adorocinema.com/filmes/filme-28201/','4,7','N,/,A'
'O Auto da Compadecida','N/A','4.7','Https://www.adorocinema.com/filmes/filme-120824/','4,7','N,/,A'
'O Resgate do Soldado Ryan','N/A','4.7','Https://www.adorocinema.com/filmes/filme-18598/','4,7','N,/,A'
'Viva - A Vida é uma Festa','N/A','3.7','Https://www.adorocinema.com/filmes/filme-206775/','3,7','N,/,A'
'De Volta para o Futuro','N/A','4.7','Https://www.adorocinema.com/filmes/filme-448/','4,7','N,/,A'
'Gladiador','N/A','4.7','Https://www.adorocinema.com/filmes/filme-24944/','4,7','N,/,A'
'Django Livre','N/A','4.3','Https://www.adorocinema.com/filmes/filme-190918/','4,3','N,/,A'
'O Silêncio dos Inocentes','N/A','4.6','Https://www.adorocinema.com/filmes/filme-6641/','4,6','N,/,A'
'O Senhor dos Anéis - A Sociedade do Anel','N/A','4.6','Https://www.adorocinema.com/filmes/filme-27070/','4,6','N,/,A'
'O Senhor dos Anéis - As Duas Torres','N/A','4.6','Https://www.adorocinema.com/filmes/filme-39186/','4,6','N,/,A'
'Intocáveis','N/A','3.0','Https://www.adorocinema.com/filmes/filme-182745/','3,0','N,/,A'
'Interestelar','N/A','3.8','Https://www.adorocinema.com/filmes/filme-114782/','3,8','N,/,A'
'Sempre ao Seu Lado','N/A','4.6','Https://www.adorocinema.com/filmes/filme-128959/','4,6','N,/,A'
